condition,total_n_obs,number_of_assets,equal_weight_asset_mean_advantage,equal_weight_asset_median_advantage,equal_weight_asset_hybrid_win_rate,pooled_CP_mean_SMAPE,pooled_HYBRID_mean_SMAPE,pooled_mean_Hybrid_advantage_vs_CP,pooled_hybrid_win_rate_vs_CP,number_of_assets_where_hybrid_beats_CP,asset_win_rate
cluster_entry_loose,73457,10,0.24635517862059836,0.014404124342051761,0.4494545950696508,93.56088920634046,93.31457387458603,0.24631533175443482,0.4494466150264781,9,0.9
cluster_entry_strict,73266,10,0.24447574536556202,0.014205309543667966,0.44964423874093135,93.5135187212659,93.26916001004167,0.2443587112242224,0.44960827669041575,9,0.9
recent_spike_position,124971,10,0.2380825492861734,0.06905117238475036,0.42341419951989767,111.52801300618471,111.30376725812758,0.22424574805712771,0.40351761608693215,8,0.8
high_within_block_dispersion,68970,10,0.060897067330389486,0.0004986648561658314,0.37853129101237243,119.60427233753568,119.5628036334846,0.04146870405107418,0.3883572567783094,6,0.6
same_average_different_path,7396,10,-0.11888823119862672,-0.06195984321076224,0.3799496595697643,117.37318180794816,117.43900656767157,-0.06582475972339173,0.36465657111952404,3,0.3
all_observations,367248,10,-0.21522464311852332,0.0,0.407793726347625,100.86366051351885,101.07902887446049,-0.2153683609416437,0.40778983139458896,2,0.2
inflection_points,144932,10,-0.28930229351781567,-0.015161419956247358,0.42494477975083245,91.12564968496345,91.41798586729124,-0.2923361823277922,0.4278006237407888,0,0.0
older_spike_position,109235,10,-0.4466940662161353,-0.00961637698356732,0.3997001266438508,97.52054438827425,97.97602746356667,-0.45548307529243615,0.4024900443996887,0,0.0
cluster_exit_loose,73455,10,-0.797489704267947,-0.1432151687988627,0.3850850676820078,97.78270322299983,98.58050764275761,-0.7978044197577709,0.3850793002518549,0,0.0
cluster_exit_strict,73334,10,-0.8014896725671911,-0.14442928858338328,0.38522402432079905,97.71189561214862,98.51367149264613,-0.8017758804975089,0.38518286197398205,0,0.0
