model_name,condition,n_obs_total,n_assets,pooled_model_mean_SMAPE,equal_weight_asset_model_mean_SMAPE,pooled_CP_mean_SMAPE,equal_weight_asset_CP_mean_SMAPE,pooled_mean_advantage_vs_CP,equal_weight_asset_mean_advantage_vs_CP,pooled_median_advantage_vs_CP,equal_weight_asset_median_advantage_vs_CP,pooled_win_rate_vs_CP,equal_weight_asset_win_rate_vs_CP,pooled_mean_abs_error_model,equal_weight_asset_mean_abs_error_model,pooled_mean_abs_error_CP,equal_weight_asset_mean_abs_error_CP,pooled_mean_abs_error_advantage_vs_CP,equal_weight_asset_mean_abs_error_advantage_vs_CP,assets_positive,assets_negative
CP_REPO_FRESH,all_observations,367248,10,100.86366051352246,100.86446932552599,100.86366051352246,100.86446932552599,0.0,0.0,0.0,0.0,0.0,0.0,0.0005861095985985633,0.0005860814836972201,0.0005861095985985633,0.0005860814836972201,0.0,0.0,0,0
CP_REPO_FRESH,cluster_entry_loose,73457,10,93.56088920634404,93.5601466793833,93.56088920634404,93.5601466793833,0.0,0.0,0.0,0.0,0.0,0.0,0.0007565085518804451,0.0007564891133133099,0.0007565085518804451,0.0007564891133133099,0.0,0.0,0,0
CP_REPO_FRESH,cluster_entry_strict,73266,10,93.51351872126948,93.50077666255066,93.51351872126948,93.50077666255066,0.0,0.0,0.0,0.0,0.0,0.0,0.0007574764161019171,0.0007575629505833999,0.0007574764161019171,0.0007575629505833999,0.0,0.0,0,0
CP_REPO_FRESH,cluster_exit_loose,73455,10,97.78270322300334,97.78394318646994,97.78270322300334,97.78394318646994,0.0,0.0,0.0,0.0,0.0,0.0,0.0006171643472766249,0.00061714297680593,0.0006171643472766249,0.00061714297680593,0.0,0.0,0,0
CP_REPO_FRESH,cluster_exit_strict,73334,10,97.71189561215213,97.69701415215351,97.71189561215213,97.69701415215351,0.0,0.0,0.0,0.0,0.0,0.0,0.000617143413936372,0.0006170716032702601,0.000617143413936372,0.0006170716032702601,0.0,0.0,0,0
CP_REPO_FRESH,inflection_points,144886,10,91.11849776564624,91.9402786618501,91.11849776564624,91.9402786618501,0.0,0.0,0.0,0.0,0.0,0.0,0.0006529679143698079,0.00063880978092709,0.0006529679143698079,0.00063880978092709,0.0,0.0,0,0
CP_REPO_FRESH,high_within_block_dispersion,68970,10,119.60427233753938,122.74906256210409,119.60427233753938,122.74906256210409,0.0,0.0,0.0,0.0,0.0,0.0,0.0005686239436958912,0.0005551224108426,0.0005686239436958912,0.0005551224108426,0.0,0.0,0,0
CP_REPO_FRESH,recent_spike_position,125358,10,111.5312633098087,105.29554362902309,111.5312633098087,105.29554362902309,0.0,0.0,0.0,0.0,0.0,0.0,0.0006091827783179715,0.0006480729005072201,0.0006091827783179715,0.0006480729005072201,0.0,0.0,0,0
CP_REPO_FRESH,older_spike_position,108871,10,97.43444156272851,98.42605014902875,97.43444156272851,98.42605014902875,0.0,0.0,0.0,0.0,0.0,0.0,0.0005701423444708448,0.0005566876073936501,0.0005701423444708448,0.0005566876073936501,0.0,0.0,0,0
CP_REPO_FRESH,same_average_different_path,7396,10,117.37318180795138,112.21175371896967,117.37318180795138,112.21175371896967,0.0,0.0,0.0,0.0,0.0,0.0,0.000543100371160609,0.00054156999594424,0.000543100371160609,0.00054156999594424,0.0,0.0,0,0
CP_REPO_FRESH,recent_ramp_high_dispersion,24273,10,118.42814151699305,120.08678395816678,118.42814151699305,120.08678395816678,0.0,0.0,0.0,0.0,0.0,0.0,0.0007926212482415474,0.0007943646335000299,0.0007926212482415474,0.0007943646335000299,0.0,0.0,0,0
