condition,total_n_obs,number_of_assets,equal_weight_asset_mean_advantage,equal_weight_asset_median_advantage,equal_weight_asset_hybrid_win_rate,pooled_CP_mean_SMAPE,pooled_HYBRID_mean_SMAPE,pooled_mean_Hybrid_advantage_vs_CP,pooled_hybrid_win_rate_vs_CP,number_of_assets_where_hybrid_beats_CP,asset_win_rate
all_observations,367248,10,-0.2152246431185233,0.0,0.407793726347625,100.86366051351884,101.07902887446048,-0.2153683609416437,0.4077898313945889,2,0.2
cluster_entry_loose,73457,10,0.2463551786205983,0.0144041243420517,0.4494545950696508,93.56088920634046,93.31457387458605,0.2463153317544348,0.4494466150264781,9,0.9
cluster_entry_strict,73266,10,0.244475745365562,0.0142053095436679,0.4496442387409313,93.5135187212659,93.26916001004167,0.2443587112242224,0.4496082766904157,9,0.9
cluster_exit_loose,73455,10,-0.797489704267947,-0.1432151687988627,0.3850850676820078,97.78270322299984,98.5805076427576,-0.7978044197577709,0.3850793002518549,0,0.0
cluster_exit_strict,73334,10,-0.8014896725671911,-0.1444292885833832,0.385224024320799,97.71189561214862,98.51367149264613,-0.8017758804975089,0.385182861973982,0,0.0
inflection_points,144932,10,-0.2893022935178156,-0.0151614199562473,0.4249447797508324,91.12564968496343,91.41798586729124,-0.2923361823277922,0.4278006237407888,0,0.0
high_within_block_dispersion,68970,10,0.0608970673303894,0.0004986648561658,0.3785312910123724,119.60427233753568,119.5628036334846,0.0414687040510741,0.3883572567783094,6,0.6
recent_spike_position,124971,10,0.2380825492861734,0.0690511723847503,0.4234141995198976,111.52801300618472,111.30376725812758,0.2242457480571277,0.4035176160869321,8,0.8
older_spike_position,109235,10,-0.4466940662161353,-0.0096163769835673,0.3997001266438508,97.52054438827425,97.97602746356668,-0.4554830752924361,0.4024900443996887,0,0.0
same_average_different_path,7396,10,-0.1188882311986267,-0.0619598432107622,0.3799496595697643,117.37318180794816,117.43900656767156,-0.0658247597233917,0.364656571119524,3,0.3
